Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members,Top GO Terms,Top GO Term p-values,Top GO FDRs,Top GO Term Fold Enrichments
11,33,0.3017,159.3,26910.0,0.005869,1.0,AADACL3 AGO1 AGO3 AGO4 AKR7A3 ARMH1 AZIN2 BEST4 BSND C1QA C1QB C1orf123 CLCNKB CYP4X1 FAAH GJA4 GJB3 GJB4 GJB5 HTR6 LURAP1 MTFR1L NBL1 PCSK9 PLA2G5 PQLC2 TMEM53 TSSK3 WDTC1 ZBTB8A ZBTB8B ZFP69 ZNF684,"miRNA loading onto RISC involved in gene silencing by miRNA|RNA secondary structure unwinding|small RNA loading onto RISC|negative regulation of translation, ncRNA-mediated|miRNA mediated inhibition of translation",4.04e-07|5.549e-07|7.391e-07|1.873e-06|1.873e-06,0.006372|0.004376|0.003886|0.007388|0.00591,275.8|241.3|214.5|148.5|148.5
12,26,0.6754,219.5,17550.0,0.012320000000000001,1.0,ACTR2 ACTR3 ARPC2 ARPC3 ARPC4 CCDC93 COMMD10 COMMD2 COMMD3 COMMD4 COMMD5 COMMD6 COMMD7 COMMD8 COMMD9 LZIC RAB21 RAB7A SNX17 VPS26C VPS29 VPS35 VPS35L WASHC3 WASHC4 WASHC5,"retrograde transport, endosome to plasma membrane|vesicle-mediated transport|endosomal transport|vesicle-mediated transport to the plasma membrane|Arp2/3 complex-mediated actin nucleation",1.376e-14|6.052e-12|9.556e-12|1.583e-11|1.106e-10,2.171e-10|4.773e-08|5.024e-08|6.243e-08|3.49e-07,198|6.877|30.6|66.01|198
13,62,0.2181,412.4,48300.0,0.008445000000000001,1.0,AAED1 ACTL7A AK8 AKAP2 ALDH1A1 ASB6 C9orf16 C9orf3 C9orf43 C9orf47 C9orf84 CERCAM CHRNB4 CIZ1 ECPAS FAM120A FAM129B FAM206A FBP1 FBP2 FRRS1L GBGT1 GNA14 GSN KIF12 LCN6 LCN8 MUSK NIPSNAP3A NIPSNAP3B NTMT1 NUTM2F NUTM2G OR13C3 OR1J1 OR1J2 OR1J4 OR1L1 OR1L8 OR1N1 OR1N2 OR1Q1 PALM2 PTBP3 PTGES2 RABEPK RALGAPA1 TMEFF1 TOR1B TRPM3 TRPM6 TXNDC8 UCK1 USP20 WDR38 ZBTB6 ZFP37 ZNF169 ZNF483 ZNF484 ZNF510 ZNF782,detection of chemical stimulus involved in sensory perception of smell|sensory perception of smell|detection of chemical stimulus involved in sensory perception|fructose metabolic process|detection of chemical stimulus,4.887e-06|7.816e-06|1.051e-05|1.752e-05|1.836e-05,0.07709|0.06164|0.05528|0.06911|0.05792,7.124|6.713|6.464|69.81|6.018
14,23,0.4391,111.1,15000.0,0.0073290000000000004,1.0,AAGAB AGFG1 ANKH AP2A1 AP2A2 AP2B1 AP2M1 AP2S1 C10orf88 CCDC32 CLTC DNM2 FCHO2 ITSN2 PICALM PPP6C RAB5C RALGAPB SH3GL1 SLC11A2 STEAP3 TFRC WDR7,clathrin-dependent endocytosis|receptor-mediated endocytosis|receptor metabolic process|endocytosis|low-density lipoprotein particle receptor catabolic process,5.597e-20|6.208e-16|1.64e-15|2.136e-15|5.569e-15,8.829e-16|4.896e-12|8.625e-12|8.422e-12|1.757e-11,280.8|41.52|80.24|21.65|561.7
15,20,0.3028,57.54,14030.0,0.004072,1.0,ATXN10 EIF3D MCM5 NOL12 PES1 RANGAP1 RBX1 RPL3 RPS19BP1 RRP7A SAMM50 SERHL2 SF3A1 SNU13 TFIP11 THOC5 TOMM22 TUBGCP6 XRCC6 ZMAT5,cellular protein-containing complex assembly|ribonucleoprotein complex subunit organization|RNA processing|nucleic acid metabolic process|ribonucleoprotein complex biogenesis,1.183e-06|1.539e-06|2.02e-06|3.078e-06|5.584e-06,0.01866|0.01214|0.01062|0.01214|0.01762,9.134|24.89|8.5|4.833|12.65
16,98,0.2887,1372.0,75570.0,0.01779,1.0,ABCC6 ACSM1 ACSM2A ACSM2B ACSM3 ACSM5 AHSP ANKS4B ARL6IP1 ATP2A1 BCKDK BFAR C16orf45 C16orf92 CA5A CCDC189 CHP2 CLDN6 CLN3 CLUAP1 CORO7 COX6A2 DCTPP1 DNAH3 DOC2A ENPP7 FAM57B GDPD3 GPRC5B GRIN2A HIRIP3 HS3ST2 HS3ST4 HSD3B7 IGSF6 IL21R IQCK ITGAD ITGAL ITGAM ITGAX KIAA2013 LAT MARF1 METTL22 METTL9 MPV17L MYH11 MYLPF NFATC2IP NOMO1 NOMO2 NPIPA5 NPIPB6 OR1F1 ORAI3 OTOA PDZD9 PHKG2 PKD1 PLA2G10 PRR14 PRSS21 PYCARD PYDC1 QPRT SBK1 SCNN1B SCNN1G SEPT1 SEPT12 SH2B1 SLC5A2 SMG1 SPN STX1B SULT1A1 SULT1A2 SYT17 TAOK2 TBX6 TMC7 USP31 VKORC1 XYLT1 YPEL1 YPEL3 ZG16 ZKSCAN2 ZNF213 ZNF500 ZNF688 ZNF689 ZNF747 ZNF764 ZNF771 ZNF785 ZNF843,purine nucleoside bisphosphate metabolic process|ribonucleoside bisphosphate metabolic process|nucleoside bisphosphate metabolic process|integrin-mediated signaling pathway|long-chain fatty acid metabolic process,4.623e-06|4.623e-06|4.623e-06|1.009e-05|3.012e-05,0.07292|0.03646|0.02431|0.03979|0.09502,11.06|11.06|11.06|12.87|10.51
17,39,0.3011,223.1,31390.0,0.0070409999999999995,1.0,AANAT ABCA8 ACSF2 C17orf47 CD300C CD300LF CDK3 CSH2 CSHL1 EFCAB3 EPX GH2 GPR142 HOXB5 HOXB9 KCTD2 LIMD2 LPO MCRIP1 METTL2B MIF4GD MKS1 MPO MRC2 MYCBPAP NME1 NME2 NT5C OR4D1 OR4D2 OTOP2 PLEKHM1 PRR29 RHBDF2 RSAD1 SCPEP1 SEPT4 SSTR2 TBKBP1,response to growth hormone|growth hormone receptor signaling pathway|cellular response to growth hormone stimulus|hydrogen peroxide catabolic process|pyrimidine ribonucleotide metabolic process,8.544e-07|1.077e-05|1.229e-05|2.981e-05|3.275e-05,0.01348|0.08494|0.06463|0.1176|0.1033,60.35|79.21|75.44|54.63|52.81
18,16,0.306,36.72,10300.0,0.0035409999999999994,0.999999,AAR2 ARMC5 CD2BP2 CMTR1 DDX23 EAF1 GEMIN4 GEMIN6 ICE2 INTS14 NCDN PHAX SNRPB2 TGS1 TOE1 USPL1,RNA metabolic process|gene expression|nucleic acid metabolic process|nucleobase-containing compound metabolic process|heterocycle metabolic process,3.167e-14|2.339e-12|3.113e-12|4.656e-11|1.145e-10,4.996e-10|1.845e-08|1.637e-08|1.836e-07|3.612e-07,11.27|8.244|8.074|6.628|6.205
19,38,0.2786,195.9,31030.0,0.006257,1.0,AARD C8orf76 CA1 CA2 CA3 COL14A1 COLEC10 CYP7A1 DCDC2 ENPP2 FAM84B FBXO32 GNPNAT1 GSDMC HSD17B4 KLHL38 MTBP MTSS1 NETO2 NOV PKIA PLEC PLXNC1 PMP2 PPDPFL RIPK2 RNF139 RRM2B SLC22A4 SLC30A8 SPG7 TNFRSF11B TRMT12 WDYHV1 WISP1 XKR9 ZFHX4 ZHX2,one-carbon metabolic process|bicarbonate transport|semaphorin-plexin signaling pathway involved in axon guidance|semaphorin-plexin signaling pathway involved in neuron projection guidance|cellular response to fluid shear stress,6.81e-05|8.385e-05|0.000268|0.0003599|0.0006473,1|0.6613|1|1|1,40.62|37.72|96.01|81.24|58.68
20,32,0.2997,148.7,22560.0,0.0065260000000000006,1.0,AARS ATP6V0D1 CDT1 CENPT CFDP1 CIAO2B CIAPIN1 COG4 COG8 DDX28 DONSON EXOSC6 GINS1 GINS2 GINS3 HSPE1 KARS MPHOSPH6 NIP7 NOB1 NUP93 NUTF2 ORC6 PSMD7 RPL13 SF3B3 SLC7A6OS TANGO6 TXNL4B UTP4 VPS4B ZC3H18,DNA-dependent DNA replication|cellular component biogenesis|DNA replication|ribosome biogenesis|nucleic acid metabolic process,1.621e-08|4.373e-08|1.494e-07|5.704e-07|1.388e-06,0.0002557|0.0003449|0.0007855|0.002249|0.004379,23.97|4.181|17.16|14.01|4.167
21,8,0.305,8.539,6098.0,0.001395,0.9996790000000001,AARSD1 CALCA GLTPD2 IGSF22 KRTAP10-11 OLFML1 PDZD3 ZNF345,artery vasodilation involved in baroreceptor response to increased systemic arterial blood pressure|baroreceptor response to increased systemic arterial blood pressure|regulation of systemic arterial blood pressure by carotid sinus baroreceptor feedback|alanyl-tRNA aminoacylation|calcitonin gene-related peptide receptor signaling pathway,0.0007765|0.001164|0.001164|0.001552|0.001552,1|1|1|1|1,2574|1287|1287|858.1|858.1
22,9,0.3128,11.26,7068.0,0.0015869999999999999,0.9998530000000001,AASDH CDK20 CNR1 COBL DUSP19 MMD2 NKX2-1 OR13C4 TSPAN33,axon development|amino acid activation for nonribosomal peptide biosynthetic process|collateral sprouting in absence of injury|globus pallidus development|induction of synaptic vesicle exocytosis by positive regulation of presynaptic cytosolic calcium ion concentration,0.0006537|0.0008734|0.00131|0.001746|0.001746,1|1|1|1|1,16.38|2288|1144|762.8|762.8
23,21,0.3067,64.4,13360.0,0.004784,1.0,ACACA ACLY ALDOA BSG CHP1 FASN GAPDH GPAT4 GPI HK2 PFKP PGAM1 PGD PGP PKM RPE SLC25A1 SLC2A1 TPI1 VDAC1 VKORC1L1,small molecule metabolic process|monosaccharide metabolic process|pyruvate metabolic process|monocarboxylic acid metabolic process|purine ribonucleotide metabolic process,1.343e-19|3.715e-19|4.15e-19|4.588e-19|3.142e-18,2.118e-15|2.93e-15|2.182e-15|1.809e-15|9.912e-15,11.03|59.7|129.8|26.13|37.07
24,42,0.3008,259.0,28850.0,0.008872,1.0,CDC6 DHX8 PSMB3 PSMD11 PSMD3 RPL10A RPL11 RPL12 RPL13 RPL13A RPL14 RPL15 RPL17 RPL18 RPL18A RPL19 RPL23 RPL23A RPL27 RPL27A RPL3 RPL31 RPL32 RPL35 RPL37 RPL4 RPL6 RPL7 RPL7A RPL9 RPLP0 RPLP2 RPS11 RPS13 RPS15A RPS17 RPS20 RPS29 RPS3A RPS6 RPS8 ZNF830,SRP-dependent cotranslational protein targeting to membrane|cotranslational protein targeting to membrane|protein targeting to ER|establishment of protein localization to endoplasmic reticulum|viral transcription,2.793e-75|1.316e-74|2.417e-73|7.267e-73|9.519e-73,4.406e-71|1.038e-70|1.271e-69|2.866e-69|3.003e-69,183.9|174.8|159|153.5|152.2
25,18,0.3017,46.16,14200.0,0.003232,1.0,AATK ANAPC11 BAIAP2 CENPX CSNK1D CYTH1 DCXR EIF4A3 LGALS3BP LRRC45 MAFG PYCR1 RAC3 RFNG SLC25A10 SLC38A10 SLF1 TEPSIN,"modulation of excitatory postsynaptic potential|cellular response to nerve growth factor stimulus|response to nerve growth factor|regulation of epidermal cell differentiation|modification of synaptic structure, modulating synaptic transmission",0.0008488|0.001161|0.001246|0.00152|0.001843,1|1|1|1|1,48.18|40.9|39.42|35.54|1084
26,46,0.2701,279.5,36250.0,0.007631999999999999,1.0,ABCA1 ACTL7A AK1 AK8 AKAP2 ALDH1A1 ASB6 C9orf16 C9orf3 C9orf43 C9orf50 C9orf84 CERCAM CIZ1 DBH ECPAS ENTPD2 FAM129B FAM206A FBP1 FBP2 FCN1 GBGT1 KIF12 LCN6 LCN8 NTMT1 OR1J1 OR1J2 OR1J4 OR1L1 OR1L8 OR1N2 OR1Q1 PALM2 PIP5KL1 PTBP3 RALGPS1 SARDH TOR1B TXNDC8 USP20 WDR38 ZBTB6 ZNF510 ZNF782,fructose metabolic process|sucrose biosynthetic process|detection of chemical stimulus involved in sensory perception of smell|sucrose metabolic process|sensory perception of smell,7.214e-06|2.658e-05|4.146e-05|4.424e-05|6.001e-05,0.1138|0.2096|0.218|0.1745|0.1893,93.61|468.1|7.43|312|7.001
27,39,0.3448,255.5,26940.0,0.009367,1.0,C2CD3 CASP2 CCDC77 CCP110 CCSAP CENPJ CEP120 CEP135 CEP152 CEP192 CEP295 CEP350 CEP41 CEP44 CEP63 CEP83 CEP97 CNTROB CRADD FOPNL KIAA0753 MIIP PCM1 PCNT PIDD1 PLK4 POC1A PPP1R35 RTTN SASS6 SPICE1 STIL TBC1D31 TEDC1 TEDC2 TRIM37 TUBD1 TUBE1 WRAP73,centrosome cycle|microtubule organizing center organization|centrosome duplication|centriole replication|microtubule cytoskeleton organization,7.756e-32|6.227e-31|1.368e-30|3.099e-30|1.674e-29,1.223e-27|4.911e-27|7.193e-27|1.222e-26|5.28e-26,108|95.05|226.3|321.4|23.32
28,13,0.3008,23.46,10120.0,0.0023079999999999997,0.999993,ABCA12 CSRP2 ITPR2 JAG1 JAG2 KLHL42 LRP10 NRARP OCLN PREP SUSD6 TMEM127 WWP2,regulation of Notch signaling pathway|Notch signaling pathway|epidermis development|inner ear auditory receptor cell differentiation|inner ear development,1.002e-06|8.53e-05|0.000196|0.0002422|0.0003437,0.01581|0.6728|1|0.9549|1,51.81|34.91|13.17|91.53|21.57
29,47,0.2174,235.0,35360.0,0.0065840000000000004,1.0,ADAMTS15 ADAMTS8 ANKK1 APOA1 BACE1 C11orf53 CARD18 CASP1 CASP4 CCDC153 CLDN25 CRYAB DSCAML1 FAM118B FLI1 FXYD6 GLB1L3 HSPB2 HTR3A HTR3B KCNJ1 KDELC2 NTM NXPE1 NXPE2 NXPE4 OR10G8 OR10G9 OR10S1 OR4D5 OR6M1 OR6X1 OR8B12 OR8B2 OR8B3 OR8B4 OR8B8 OR8D1 OR8D4 PANX3 PDZD3 POU2F3 RNF214 TENM4 THYN1 TIMM8B TMEM136,detection of chemical stimulus involved in sensory perception of smell|detection of stimulus involved in sensory perception|sensory perception of smell|detection of chemical stimulus involved in sensory perception|detection of chemical stimulus,1.25e-11|1.3e-11|2.569e-11|4.055e-11|9.598e-11,1.973e-07|1.025e-07|1.351e-07|1.599e-07|3.028e-07,13.2|11.31|12.44|11.98|11.15
30,49,0.2372,278.9,39260.0,0.007036,1.0,ABCA2 AK8 ARRDC1 C9orf16 CCDC183 CERCAM CIZ1 CLIC3 DBH DPH7 DPP7 ENTPD2 ENTR1 FAM69B FAM78A FBXW5 FCN1 GBGT1 GLT6D1 GPR35 KIF12 LCN10 LCN15 LCN6 LCN8 LCNL1 LHX3 MYMK NPDC1 NTMT1 NTNG2 OR1J4 OR1L8 OR1N2 PHPT1 PIP5KL1 PTGES2 RNF224 SARDH STKLD1 STPG3 TMEM141 TOR1A TOR1B TUBB4B UAP1L1 USP20 WDR38 ZBTB6,lipid glycosylation|amine catabolic process|cellular biogenic amine catabolic process|chaperone cofactor-dependent protein refolding|regulation of protein localization to cell surface,0.0004932|0.00295|0.00295|0.003302|0.004064,1|1|1|1|1,70.05|26.27|26.27|24.72|22.12
31,25,0.3019,90.57,17120.0,0.005247,1.0,ALG14 ATP5PB BCAS2 CDC7 CSDE1 DDX20 DNTTIP2 DPH5 GLMN HEATR3 IER3IP1 PRPF38B PSMA5 RABGGTB RNPC3 RPAP2 RPF1 RPF2 RPL5 SARS SASS6 WARS2 WDR3 XPO7 ZNHIT6,RNA metabolic process|ribosomal large subunit biogenesis|nucleic acid metabolic process|RNA processing|nucleobase-containing compound metabolic process,1.535e-08|3.936e-08|8.604e-08|9.393e-08|1.207e-07,0.0002421|0.0003105|0.0004524|0.0003704|0.0003808,6.44|55.01|4.968|8.582|4.37
32,15,0.4126,43.33,10170.0,0.004229999999999999,0.999999,BIRC6 DNAJA1 DNAJC7 EIF2AK1 EIF2B4 HECTD1 KCMF1 PLAA PPP1R15B UBA6 UBR4 USP15 USP19 VCPIP1 ZRANB1,protein modification by small protein conjugation or removal|cellular protein metabolic process|ubiquitin-dependent protein catabolic process|modification-dependent protein catabolic process|modification-dependent macromolecule catabolic process,7.793e-09|1.241e-08|4.373e-08|4.776e-08|5.474e-08,0.0001229|9.79e-05|0.0002299|0.0001884|0.0001727,11.99|4.9|18.03|17.8|17.44
33,51,0.2585,329.6,37150.0,0.008772,1.0,ACCS ACCSL ALX4 ANO3 ANO5 ARFGAP2 BDNF C11orf49 C1QTNF4 CALCB CAT CD82 CHRM4 COMMD9 CRY2 DGKZ EHF ELF5 F2 FBXO3 HARBI1 KCNC1 LARGE2 LIN7C MAPK8IP1 MRGPRX1 MRGPRX2 MRGPRX3 MYBPC3 OR4A47 OR4A5 OR4B1 OR4C12 OR4C13 OR4C3 OR4C46 OR4S1 OR4X1 PAMR1 PDHX PTPRJ QSER1 RAPSN SAA1 SAA2 SLC1A2 SLC39A13 SYT13 TCP11L1 TP53I11 TRIM49B,G protein-coupled receptor signaling pathway|acute-phase response|acute inflammatory response|detection of chemical stimulus involved in sensory perception of smell|detection of stimulus,2.934e-08|1.278e-07|1.733e-06|2.282e-06|2.359e-06,0.0004628|0.001008|0.009112|0.008998|0.007442,4.879|46.51|26.49|7.783|5.843
